종목코드,종목명,시장구분
482520,교보16호스팩,KOSDAQ
489210,교보17호스팩,KOSDAQ
053270,구영테크,KOSDAQ
066620,국보디자인,KOSDAQ
043650,국순당,KOSDAQ
006050,국영지앤엠,KOSDAQ
060480,국일신동,KOSDAQ
078130,국일제지,KOSDAQ
307750,국전약품,KOSDAQ
035080,그래디언트,KOSDAQ
453450,그리드위즈,KOSDAQ
204020,그리티,KOSDAQ
402490,그린리소스,KOSDAQ
114450,그린생명과학,KOSDAQ
186230,그린플러스,KOSDAQ
900070,글로벌에스엠,KOSDAQ
204620,글로벌텍스프리,KOSDAQ
019660,글로본,KOSDAQ
053260,금강철강,KOSDAQ
282720,금양그린파워,KOSDAQ
036190,금화피에스시,KOSDAQ
049080,기가레인,KOSDAQ
420770,기가비스,KOSDAQ
035460,기산텔레콤,KOSDAQ
407400,꿈비,KOSDAQ
187790,나노,KOSDAQ
121600,나노신소재,KOSDAQ
286750,나노실리칸첨단소재,KOSDAQ
247660,나노씨엠에스,KOSDAQ
039860,나노엔텍,KOSDAQ
091970,나노캠텍,KOSDAQ
417010,나노팀,KOSDAQ
405920,나라셀라,KOSDAQ
051490,나라엠앤디,KOSDAQ
137080,나래나노텍,KOSDAQ
190510,나무가,KOSDAQ
242040,나무기술,KOSDAQ
293580,나우IB,KOSDAQ
459510,나우로보틱스,KOSDAQ
138610,나이벡,KOSDAQ
130580,나이스디앤비,KOSDAQ
036800,나이스정보통신,KOSDAQ
267320,나인테크,KOSDAQ
111710,남화산업,KOSDAQ
091590,남화토건,KOSDAQ
168330,내츄럴엔도텍,KOSDAQ
094860,네오리진,KOSDAQ
253590,네오셈,KOSDAQ
212560,네오오토,KOSDAQ
095660,네오위즈,KOSDAQ
042420,네오위즈홀딩스,KOSDAQ
950220,네오이뮨텍,KOSDAQ
311390,네오크레마,KOSDAQ
085910,네오티스,KOSDAQ
092730,네오팜,KOSDAQ
290660,네오펙트,KOSDAQ
306620,네온테크,KOSDAQ
153460,네이블,KOSDAQ
007390,네이처셀,KOSDAQ
033640,네패스,KOSDAQ
330860,네패스아크,KOSDAQ
351320,넥사다이내믹스,KOSDAQ
089140,넥스턴바이오,KOSDAQ
389650,넥스트바이오메디컬,KOSDAQ
137940,넥스트아이,KOSDAQ
396270,넥스트칩,KOSDAQ
348210,넥스틴,KOSDAQ
225570,넥슨게임즈,KOSDAQ
205500,넥써쓰,KOSDAQ
217270,넵튠,KOSDAQ
104620,노랑풍선,KOSDAQ
473980,노머스,KOSDAQ
194700,노바렉스,KOSDAQ
285490,노바텍,KOSDAQ
145170,노브랜드,KOSDAQ
106520,노블엠앤비,KOSDAQ
376930,노을,KOSDAQ
142280,녹십자엠에스,KOSDAQ
234690,녹십자웰빙,KOSDAQ
054050,농우바이오,KOSDAQ
069140,누리플랜,KOSDAQ
040160,누리플렉스,KOSDAQ
332290,누보,KOSDAQ
348340,뉴로메카,KOSDAQ
060260,뉴보텍,KOSDAQ
463020,뉴엔AI,KOSDAQ
123840,뉴온,KOSDAQ
012340,뉴인텍,KOSDAQ
462310,뉴키즈온,KOSDAQ
270870,뉴트리,KOSDAQ
144960,뉴파워프라즈마,KOSDAQ
085670,뉴프렉스,KOSDAQ
064260,다날,KOSDAQ
340360,다보링크,KOSDAQ
039560,다산네트웍스,KOSDAQ
154040,다산솔루에타,KOSDAQ
032190,다우데이타,KOSDAQ
323350,다원넥스뷰,KOSDAQ
068240,다원시스,KOSDAQ
464580,닷밀,KOSDAQ
020400,대동금속,KOSDAQ
008830,대동기어,KOSDAQ
048470,대동스틸,KOSDAQ
004780,대륙제관,KOSDAQ
017650,대림제지,KOSDAQ
389260,대명에너지,KOSDAQ
317850,대모,KOSDAQ
290670,대보마그네틱,KOSDAQ
078140,대봉엘에스,KOSDAQ
065150,대산F&B,KOSDAQ
036480,대성미생물,KOSDAQ
027830,대성창투,KOSDAQ
104040,대성파인텍,KOSDAQ
129920,대성하이텍,KOSDAQ
457630,대신밸런스제16호스팩,KOSDAQ
471050,대신밸런스제17호스팩,KOSDAQ
478780,대신밸런스제18호스팩,KOSDAQ
482690,대신밸런스제19호스팩,KOSDAQ
020180,대신정보통신,KOSDAQ
045390,대아티아이,KOSDAQ
108380,대양전기공업,KOSDAQ
007680,대원,KOSDAQ
048910,대원미디어,KOSDAQ
005710,대원산업,KOSDAQ
290380,대유,KOSDAQ
120240,대정화금,KOSDAQ
003310,대주산업,KOSDAQ
078600,대주전자재료,KOSDAQ
393970,대진첨단소재,KOSDAQ
096350,대창솔루션,KOSDAQ
140520,대창스틸,KOSDAQ
131220,대한과학,KOSDAQ
010170,대한광통신,KOSDAQ
054670,대한뉴팜,KOSDAQ
023910,대한약품,KOSDAQ
021040,대호특수강,KOSDAQ
021045,대호특수강우,KOSDAQ
067080,대화제약,KOSDAQ
298540,더네이쳐홀딩스,KOSDAQ
032860,더라미,KOSDAQ
214610,더바이오메드,KOSDAQ
393890,더블유씨피,KOSDAQ
299170,더블유에스아이,KOSDAQ
462860,더즌,KOSDAQ
224060,더코디,KOSDAQ
043090,더테크놀로지,KOSDAQ
213420,덕산네오룩스,KOSDAQ
317330,덕산테코피아,KOSDAQ
077360,덕산하이메탈,KOSDAQ
090410,덕신이피씨,KOSDAQ
263600,덕우전자,KOSDAQ
194480,데브시스터즈,KOSDAQ
373160,데이원컴퍼니,KOSDAQ
263800,데이타솔루션,KOSDAQ
206560,덱스터,KOSDAQ
261200,덴티스,KOSDAQ
067990,도이치모터스,KOSDAQ
006620,동구바이오제약,KOSDAQ
100130,동국S&C,KOSDAQ
005160,동국산업,KOSDAQ
303810,동국생명과학,KOSDAQ
075970,동국알앤에스,KOSDAQ
086450,동국제약,KOSDAQ
240550,동방메디컬,KOSDAQ
099410,동방선기,KOSDAQ
033500,동성화인텍,KOSDAQ
025950,동신건설,KOSDAQ
088130,동아엘텍,KOSDAQ
041930,동아화성,KOSDAQ
060380,동양에스텍,KOSDAQ
079960,동양이엔피,KOSDAQ
228340,동양파일,KOSDAQ
088910,동우팜투테이블,KOSDAQ
094170,동운아나텍,KOSDAQ
013120,동원개발,KOSDAQ
109860,동일금속,KOSDAQ
032960,동일기연,KOSDAQ
023790,동일스틸럭스,KOSDAQ
005290,동진쎄미켐,KOSDAQ
025900,동화기업,KOSDAQ
131970,두산테스나,KOSDAQ
073190,듀오백,KOSDAQ
176750,듀켐바이오,KOSDAQ
030350,드래곤플라이,KOSDAQ
203650,드림시큐리티,KOSDAQ
223250,드림씨아이에스,KOSDAQ
060570,드림어스컴퍼니,KOSDAQ
362990,드림인사이트,KOSDAQ
016670,디모아,KOSDAQ
187870,디바이스,KOSDAQ
489730,디비금융제13호스팩,KOSDAQ
110990,디아이티,KOSDAQ
263690,디알젬,KOSDAQ
214680,디알텍,KOSDAQ
347850,디앤디파마텍,KOSDAQ
263720,디앤씨미디어,KOSDAQ
376300,디어유,KOSDAQ
109740,디에스케이,KOSDAQ
031860,디에이치엑스컴퍼니,KOSDAQ
196490,디에이테크놀로지,KOSDAQ
066900,디에이피,KOSDAQ
092070,디엔에프,KOSDAQ
039840,디오,KOSDAQ
219550,디와이디,KOSDAQ
310870,디와이씨,KOSDAQ
104460,디와이피엔에프,KOSDAQ
079810,디이엔티,KOSDAQ
113810,디젠스,KOSDAQ
043360,디지아이,KOSDAQ
197140,디지캡,KOSDAQ
068930,디지털대성,KOSDAQ
033130,디지틀조선,KOSDAQ
105740,디케이락,KOSDAQ
263020,디케이앤디,KOSDAQ
290550,디케이티,KOSDAQ
066670,디티씨,KOSDAQ
187220,디티앤씨,KOSDAQ
383930,디티앤씨알오,KOSDAQ
131180,딜리,KOSDAQ
315640,딥노이드,KOSDAQ
223310,딥마인드,KOSDAQ
317120,라닉스,KOSDAQ
462510,라메디텍,KOSDAQ
042510,라온시큐어,KOSDAQ
232680,라온테크,KOSDAQ
418420,라온텍,KOSDAQ
300120,라온피플,KOSDAQ
171120,라이온켐텍,KOSDAQ
388790,라이콤,KOSDAQ
214260,라파스,KOSDAQ
171010,램테크놀러지,KOSDAQ
084650,랩지노믹스,KOSDAQ
217500,러셀,KOSDAQ
038390,레드캡투어,KOSDAQ
294140,레몬,KOSDAQ
443250,레뷰코퍼레이션,KOSDAQ
228670,레이,KOSDAQ
228850,레이언스,KOSDAQ
412350,레이저쎌,KOSDAQ
199550,레이저옵텍,KOSDAQ
281740,레이크머티리얼즈,KOSDAQ
277810,레인보우로보틱스,KOSDAQ
215100,로보로보,KOSDAQ
090360,로보스타,KOSDAQ
108490,로보티즈,KOSDAQ
900260,로스웰,KOSDAQ
067730,로지시스,KOSDAQ
071280,로체시스템즈,KOSDAQ
376900,로킷헬스케어,KOSDAQ
328130,루닛,KOSDAQ
038060,루멘스,KOSDAQ
474170,루미르,KOSDAQ
141080,리가켐바이오,KOSDAQ
058470,리노공업,KOSDAQ
016100,리더스코스메틱,KOSDAQ
012700,리드코프,KOSDAQ
302550,리메드,KOSDAQ
073570,리튬포어스,KOSDAQ
377450,리파인,KOSDAQ
277070,린드먼아시아,KOSDAQ
042500,링네트,KOSDAQ
193250,링크드,KOSDAQ
474650,링크솔루션,KOSDAQ
219420,링크제니시스,KOSDAQ
439090,마녀공장,KOSDAQ
195500,마니커에프앤지,KOSDAQ
377480,마음AI,KOSDAQ
305090,마이크로디지탈,KOSDAQ
098120,마이크로컨텍솔,KOSDAQ
424980,마이크로투나노,KOSDAQ
038290,마크로젠,KOSDAQ
267980,매일유업,KOSDAQ
005990,매일홀딩스,KOSDAQ
093520,매커스,KOSDAQ
100590,머큐리,KOSDAQ
067280,멀티캠퍼스,KOSDAQ
072870,메가스터디,KOSDAQ
215200,메가스터디교육,KOSDAQ
133750,메가엠디,KOSDAQ
446540,메가터치,KOSDAQ
235980,메드팩토,KOSDAQ
041920,메디아나,KOSDAQ
014100,메디앙스,KOSDAQ
054180,메디콕스,KOSDAQ
086900,메디톡스,KOSDAQ
078160,메디포스트,KOSDAQ
408920,메쎄이상,KOSDAQ
021880,메이슨캐피탈,KOSDAQ
140410,메지온,KOSDAQ
241770,메카로,KOSDAQ
059210,메타바이오메드,KOSDAQ
058110,멕아이씨에스,KOSDAQ
434480,모니터랩,KOSDAQ
080420,모다이노칩,KOSDAQ
417970,모델솔루션,KOSDAQ
080160,모두투어,KOSDAQ
087260,모바일어플라이언스,KOSDAQ
101330,모베이스,KOSDAQ
012860,모베이스전자,KOSDAQ
363260,모비데이즈,KOSDAQ
348030,모비릭스,KOSDAQ
250060,모비스,KOSDAQ
288980,모아데이타,KOSDAQ
142760,모아라이프플러스,KOSDAQ
033200,모아텍,KOSDAQ
333050,모코엠시스,KOSDAQ
118990,모트렉스,KOSDAQ
463480,모티브링크,KOSDAQ
006920,모헨즈,KOSDAQ
001810,무림SP,KOSDAQ
279600,미디어젠,KOSDAQ
095500,미래나노텍,KOSDAQ
254490,미래반도체,KOSDAQ
218150,미래생명자원,KOSDAQ
442900,미래에셋드림스팩1호,KOSDAQ
100790,미래에셋벤처투자,KOSDAQ
446190,미래에셋비전스팩2호,KOSDAQ
448830,미래에셋비전스팩3호,KOSDAQ
477380,미래에셋비전스팩4호,KOSDAQ
477470,미래에셋비전스팩5호,KOSDAQ
478440,미래에셋비전스팩6호,KOSDAQ
482680,미래에셋비전스팩7호,KOSDAQ
049950,미래컴퍼니,KOSDAQ
207760,미스터블루,KOSDAQ
059090,미코,KOSDAQ
201490,미투온,KOSDAQ
475460,미트박스,KOSDAQ
452200,민테크,KOSDAQ
206640,바디텍메드,KOSDAQ
018700,바른손,KOSDAQ
035620,바른손이앤에이,KOSDAQ
053030,바이넥스,KOSDAQ
301300,바이브컴퍼니,KOSDAQ
064550,바이오니아,KOSDAQ
314930,바이오다인,KOSDAQ
489460,바이오비쥬,KOSDAQ
086820,바이오솔루션,KOSDAQ
038460,바이오스마트,KOSDAQ
251120,바이오에프디엔씨,KOSDAQ
199730,바이오인프라,KOSDAQ
086040,바이오톡스텍,KOSDAQ
188040,바이오포트,KOSDAQ
099430,바이오플러스,KOSDAQ
032980,바이온,KOSDAQ
308080,바이젠셀,KOSDAQ
043150,바텍,KOSDAQ
323990,박셀바이오,KOSDAQ
267790,배럴,KOSDAQ
046310,백금T&A,KOSDAQ
331520,밸로프,KOSDAQ
199480,뱅크웨어글로벌,KOSDAQ
438700,버넥트,KOSDAQ
066410,버킷스튜디오,KOSDAQ
382900,범한퓨얼셀,KOSDAQ
206400,베노티앤알,KOSDAQ
019010,베뉴지,KOSDAQ
177350,베셀,KOSDAQ
457600,벡트,KOSDAQ
424760,벨로크,KOSDAQ
250000,보라티알,KOSDAQ
310210,보로노이,KOSDAQ
006910,보성파워텍,KOSDAQ
226340,본느,KOSDAQ
014470,부방,KOSDAQ
008470,부스타,KOSDAQ
338220,뷰노,KOSDAQ
100120,뷰웍스,KOSDAQ
406820,뷰티스킨,KOSDAQ
099390,브레인즈컴퍼니,KOSDAQ
064480,브리지텍,KOSDAQ
288330,브릿지바이오테라퓨틱스,KOSDAQ
365900,브이씨,KOSDAQ
089970,브이엠,KOSDAQ
251630,브이원텍,KOSDAQ
018290,브이티,KOSDAQ
478560,블랙야크아이앤씨,KOSDAQ
439580,블루엠텍,KOSDAQ
033560,블루콤,KOSDAQ
369370,블리츠웨이엔터테인먼트,KOSDAQ
126340,비나텍,KOSDAQ
121800,비덴트,KOSDAQ
082800,비보존 제약,KOSDAQ
318410,비비씨,KOSDAQ
419540,비스토스,KOSDAQ
146320,비씨엔씨,KOSDAQ
200780,비씨월드제약,KOSDAQ
413640,비아이매트릭스,KOSDAQ
141000,비아트론,KOSDAQ
083650,비에이치아이,KOSDAQ
445360,비엔케이제1호스팩,KOSDAQ
473370,비엔케이제2호스팩,KOSDAQ
065170,비엘팜텍,KOSDAQ
086670,비엠티,KOSDAQ
335890,비올,KOSDAQ
230980,비유테크놀러지,KOSDAQ
082920,비츠로셀,KOSDAQ
054220,비츠로시스,KOSDAQ
042370,비츠로테크,KOSDAQ
050090,비케이홀딩스,KOSDAQ
148780,비큐AI,KOSDAQ
307870,비투엔,KOSDAQ
377030,비트맥스,KOSDAQ
032850,비트컴퓨터,KOSDAQ
238200,비피도,KOSDAQ
093190,빅솔론,KOSDAQ
065450,빅텍,KOSDAQ
044480,빌리언스,KOSDAQ
069540,빛과전자,KOSDAQ
072950,빛샘전자,KOSDAQ
451250,삐아,KOSDAQ
143240,사람인,KOSDAQ
466410,사이냅소프트,KOSDAQ
452430,사피엔반도체,KOSDAQ
419120,산돌,KOSDAQ
122350,삼기,KOSDAQ
419050,삼기에너지솔루션즈,KOSDAQ
014970,삼륭물산,KOSDAQ
018310,삼목에스폼,KOSDAQ
053700,삼보모터스,KOSDAQ
009620,삼보산업,KOSDAQ
023600,삼보판지,KOSDAQ
448740,삼성스팩8호,KOSDAQ
009300,삼아제약,KOSDAQ
482630,삼양엔씨켐,KOSDAQ
036670,삼양케이씨아이,KOSDAQ
361670,삼영에스앤씨,KOSDAQ
054540,삼영엠텍,KOSDAQ
065570,삼영이엔씨,KOSDAQ
032280,삼일,KOSDAQ
002290,삼일기업공사,KOSDAQ
037460,삼지전자,KOSDAQ
032750,삼진,KOSDAQ
054090,삼진엘앤디,KOSDAQ
000250,삼천당제약,KOSDAQ
024950,삼천리자전거,KOSDAQ
038500,삼표시멘트,KOSDAQ
437730,삼현,KOSDAQ
017480,삼현철강,KOSDAQ
046390,삼화네트웍스,KOSDAQ
027580,상보,KOSDAQ
038540,상상인,KOSDAQ
452670,상상인제4호스팩,KOSDAQ
091580,상신이디피,KOSDAQ
263810,상신전자,KOSDAQ
089980,상아프론테크,KOSDAQ
042940,상지건설,KOSDAQ
042600,새로닉스,KOSDAQ
107600,새빗켐,KOSDAQ
411080,샌즈랩,KOSDAQ
252990,샘씨엔에스,KOSDAQ
378800,샤페론,KOSDAQ
294630,서남,KOSDAQ
038070,서린바이오,KOSDAQ
006730,서부T&D,KOSDAQ
079650,서산,KOSDAQ
100660,서암기계공업,KOSDAQ
019770,서연탑메탈,KOSDAQ
043710,서울리거,KOSDAQ
092190,서울바이오시스,KOSDAQ
046890,서울반도체,KOSDAQ
063170,서울옥션,KOSDAQ
027040,서울전자통신,KOSDAQ
018680,서울제약,KOSDAQ
036120,서울평가정보,KOSDAQ
093920,서원인텍,KOSDAQ
189860,서전기전,KOSDAQ
178320,서진시스템,KOSDAQ
122690,서진오토모티브,KOSDAQ
140070,서플러스글로벌,KOSDAQ
011370,서한,KOSDAQ
065710,서호전기,KOSDAQ
035890,서희건설,KOSDAQ
357550,석경에이티,KOSDAQ
003100,선광,KOSDAQ
067370,선바이오,KOSDAQ
217620,선샤인푸드,KOSDAQ
171090,선익시스템,KOSDAQ
086710,선진뷰티사이언스,KOSDAQ
014620,성광벤드,KOSDAQ
037350,성도이엔지,KOSDAQ
458650,성우,KOSDAQ
081580,성우전자,KOSDAQ
045300,성우테크론,KOSDAQ
015750,성우하이텍,KOSDAQ
365340,성일하이텍,KOSDAQ
080470,성창오토텍,KOSDAQ
043260,성호전자,KOSDAQ
148150,세경하이테크,KOSDAQ
188260,세니젠,KOSDAQ
053060,세동,KOSDAQ
340440,세림B&G,KOSDAQ
017510,세명전기,KOSDAQ
011560,세보엠이씨,KOSDAQ
396300,세아메카닉스,KOSDAQ
100700,세운메디칼,KOSDAQ
024830,세원물산,KOSDAQ
258830,세종메디칼,KOSDAQ
036630,세종텔레콤,KOSDAQ
039310,세중,KOSDAQ
067770,세진티에스,KOSDAQ
053450,세코닉스,KOSDAQ
222810,세토피아,KOSDAQ
252500,세화피앤씨,KOSDAQ
321370,센서뷰,KOSDAQ
347000,센코,KOSDAQ
331920,셀레믹스,KOSDAQ
352770,셀레스트라,KOSDAQ
471820,셀로맥스사이언스,KOSDAQ
049180,셀루메드,KOSDAQ
299660,셀리드,KOSDAQ
108860,셀바스AI,KOSDAQ
208370,셀바스헬스케어,KOSDAQ
318160,셀바이오휴먼텍,KOSDAQ
308430,셀비온,KOSDAQ
068760,셀트리온제약,KOSDAQ
068940,셀피글로벌,KOSDAQ
007720,소노스퀘어,KOSDAQ
060230,소니드,KOSDAQ
290690,소룩스,KOSDAQ
950200,소마젠,KOSDAQ
032680,소프트센,KOSDAQ
032685,소프트센우,KOSDAQ
258790,소프트캠프,KOSDAQ
066910,손오공,KOSDAQ
215090,솔디펜스,KOSDAQ
035610,솔본,KOSDAQ
357780,솔브레인,KOSDAQ
036830,솔브레인홀딩스,KOSDAQ
304100,솔트룩스,KOSDAQ
328380,솔트웨어,KOSDAQ
086980,쇼박스,KOSDAQ
050960,수산아이앤티,KOSDAQ
084180,수성웹툰,KOSDAQ
253840,수젠텍,KOSDAQ
298830,슈어소프트테크,KOSDAQ
236200,슈프리마,KOSDAQ
094840,슈프리마에이치큐,KOSDAQ
192440,슈피겐코리아,KOSDAQ
424960,스마트레이더시스템,KOSDAQ
099440,스맥,KOSDAQ
276040,스코넥,KOSDAQ
060240,스타코링크,KOSDAQ
115570,스타플렉스,KOSDAQ
330730,스톤브릿지벤처스,KOSDAQ
352090,스톰테크,KOSDAQ
253450,스튜디오드래곤,KOSDAQ
408900,스튜디오미르,KOSDAQ
204630,스튜디오산타클로스,KOSDAQ
415380,스튜디오삼익,KOSDAQ
013810,스페코,KOSDAQ
347700,스피어,KOSDAQ
049830,승일,KOSDAQ
020710,시공테크,KOSDAQ
033170,시그네틱스,KOSDAQ
048870,시너지이노베이션,KOSDAQ
025320,시노펙스,KOSDAQ
340810,시선AI,KOSDAQ
269620,시스웍,KOSDAQ
056090,시지메드텍,KOSDAQ
429270,시지트로닉스,KOSDAQ
418250,시큐레터,KOSDAQ
131090,시큐브,KOSDAQ
290520,신도기연,KOSDAQ
001000,신라섬유,KOSDAQ
025870,신라에스지,KOSDAQ
215600,신라젠,KOSDAQ
065350,신성델타테크,KOSDAQ
416180,신성에스티,KOSDAQ
162300,신스틸,KOSDAQ
290560,신시웨이,KOSDAQ
002800,신신제약,KOSDAQ
472220,신영스팩10호,KOSDAQ
430220,신영스팩8호,KOSDAQ
445970,신영스팩9호,KOSDAQ
017000,신원종합개발,KOSDAQ
012790,신일제약,KOSDAQ
138070,신진에스엠,KOSDAQ
226330,신테카바이오,KOSDAQ
452980,신한제11호스팩,KOSDAQ
474660,신한제12호스팩,KOSDAQ
474930,신한제13호스팩,KOSDAQ
487360,신한제14호스팩,KOSDAQ
487830,신한제15호스팩,KOSDAQ
496070,신한제16호스팩,KOSDAQ
056700,신화인터텍,KOSDAQ
187270,신화콘텍,KOSDAQ
243840,신흥에스이씨,KOSDAQ
257720,실리콘투,KOSDAQ
222800,심텍,KOSDAQ
036710,심텍홀딩스,KOSDAQ
444530,심플랫폼,KOSDAQ
234030,싸이닉솔루션,KOSDAQ
160980,싸이맥스,KOSDAQ
356890,싸이버원,KOSDAQ
217330,싸이토젠,KOSDAQ
208640,썸에이지,KOSDAQ
222420,쎄노텍,KOSDAQ
037760,쎄니트,KOSDAQ
081180,쎄크,KOSDAQ
099320,쎄트렉아이,KOSDAQ
049960,쎌바이오텍,KOSDAQ
088280,쏘닉스,KOSDAQ
050890,쏠리드,KOSDAQ
394800,쓰리빌리언,KOSDAQ
177900,쓰리에이로직스,KOSDAQ
475400,씨메스,KOSDAQ
109670,씨싸이트,KOSDAQ
066790,씨씨에스,KOSDAQ
222080,씨아이에스,KOSDAQ
352480,씨앤씨인터내셔널,KOSDAQ
264660,씨앤지하이테크,KOSDAQ
352700,씨앤투스,KOSDAQ
458870,씨어스테크놀로지,KOSDAQ
297090,씨에스베어링,KOSDAQ
900120,씨엑스아이,KOSDAQ
359090,씨엔알리서치,KOSDAQ
115530,씨엔플러스,KOSDAQ
115480,씨유메디칼,KOSDAQ
376290,씨유테크,KOSDAQ
189330,씨이랩,KOSDAQ
096530,씨젠,KOSDAQ
101240,씨큐브,KOSDAQ
060590,씨티씨바이오,KOSDAQ
260930,씨티케이,KOSDAQ
413630,씨피시스템,KOSDAQ
013990,아가방컴퍼니,KOSDAQ
123860,아나패스,KOSDAQ
025980,아난티,KOSDAQ
125210,아모그린텍,KOSDAQ
357580,아모센스,KOSDAQ
052710,아모텍,KOSDAQ
074430,아미노로직스,KOSDAQ
092040,아미코젠,KOSDAQ
083930,아바코,KOSDAQ
149950,아바텍,KOSDAQ
